sample,latitude,longitude,dist_coast,dist_ocean,elevation
HG_3,-78.0386,163.8506028,11389.53262,11389.53262,679.84375
HG_4,-78.0386,163.8506028,11389.53262,11389.53262,679.84375
HM_1,-78.11667222,163.7507917,8274.357863,15107.94047,556.28125
HM_4,-78.11667222,163.7507917,8274.357863,15107.94047,556.28125
HM_6,-78.11667222,163.7507917,8274.357863,15107.94047,556.28125
L2,-77.79723333,160.6154778,67337.93521,67337.93521,1389.375
L4,-77.79723333,160.6154778,67337.93521,67337.93521,1389.375
L6,-77.79723333,160.6154778,67337.93521,67337.93521,1389.375
LG_1,-78.02647778,163.8512083,11617.40991,11617.40991,299.1875
LG_2,-78.02647778,163.8512083,11617.40991,11617.40991,299.1875
LG_3,-78.02647778,163.8512083,11617.40991,11617.40991,299.1875
LM_3,-78.10059722,163.8091194,8499.688503,13372.49616,108.8203125
LM_5,-78.10059722,163.8091194,8499.688503,13372.49616,108.8203125
LM_6,-78.10059722,163.8091194,8499.688503,13372.49616,108.8203125
MF_1,-77.57317222,163.1585972,8487.984296,8487.984296,576.1875
MF_3,-77.57317222,163.1585972,8487.984296,8487.984296,576.1875
MF_4,-77.57317222,163.1585972,8487.984296,8487.984296,576.1875
MS_1,-77.03662778,161.7101194,16748.77996,16748.77996,804.6640625
MS_2,-77.03662778,161.7101194,16748.77996,16748.77996,804.6640625
MS_3,-77.03662778,161.7101194,16748.77996,16748.77996,804.6640625
SU_1,-77.01780833,161.7385694,15714.91176,15714.91176,469.8203125
